3,decret N°2003-150 du 18juin2003 portant creation du diplome,President de la republique,FR,documents/decret_N2003-150_du_18juin2003_portant_creation_du_diplome_de_BTS_NIGER_FR.pdf,2020-07-28,"",3,1
2,loi_orientation_enseignement_superieur,President de la republique,FR,documents/loi_orientation_enseignement_superieur_CMR_FR_mHLAGwX.pdf,2001-04-16,LOI N° 005,2,1
4,law N°2004-022 of 22july2004 to lay down the rules rules governing the organization and functioning of private education in Cameroon_ANG,President de la Republique,FR,documents/law_N2004-022_of_22july2004_to_lay_down_the_rules_rules_governing_the_organization_and_functioning_of_private_education_in_Cameroon_ANG.pdf,2004-07-22,N°2004-022,2,1
5,decret_gouvernemental_TUNISIE,Premier Ministre,FR,documents/decret_gouvernemental_TUNISIE_FR.pdf,2018-09-21,2018-787,3,1
6,"decret n°2012-488 du 7juin2012 portant attributions, organisations et fonctionnement du coges_COTE D'IVOIRE",President de la Republique,FR,documents/decret_n2012-488_du_7juin2012_portant_attributions_organisations_et_fonctionnement_du_coges_COTE_DIVOIRE_FR.pdf,2012-06-07,n°2012-488,3,1
7,loi 2004-37 du 15décembre2004 modifiant et complétant la loi de l'education nationale_RWANDA,President de la Republique,FR,documents/loi_2004-37_du_15décembre2004_modifiant_et_complétant_la_loi_de_leducation_nationale_RWANDA_FR.pdf,2004-12-15,2004-37,2,1
