25010,api_nature_pkey,2200,p,false,false,true,25005,0,25009,0,0, , , ,true,0,true,{1},,,,,,
25018,api_region_pkey,2200,p,false,false,true,25013,0,25017,0,0, , , ,true,0,true,{1},,,,,,
25026,api_pays_pkey,2200,p,false,false,true,25021,0,25025,0,0, , , ,true,0,true,{1},,,,,,
25034,api_pays_documents_pkey,2200,p,false,false,true,25029,0,25033,0,0, , , ,true,0,true,{1},,,,,,
25035,api_document_nature_id_f4113aca_fk_api_nature_id,2200,f,true,true,true,24994,0,25009,0,25005,a,a,s,true,0,true,{8},{1},{96},{96},{96},,
25040,api_document_user_id_fffdf76b_fk_auth_user_id,2200,f,true,true,true,24994,0,24896,0,24892,a,a,s,true,0,true,{9},{1},{96},{96},{96},,
25045,api_pays_continent_id_815155c3_fk_api_region_id,2200,f,true,true,true,25021,0,25017,0,25013,a,a,s,true,0,true,{3},{1},{96},{96},{96},,
25052,api_pays_documents_pays_id_document_id_4c0960cc_uniq,2200,u,false,false,true,25029,0,25051,0,0, , , ,true,0,true,"{2,3}",,,,,,
25053,api_pays_documents_pays_id_95dc241a_fk_api_pays_id,2200,f,true,true,true,25029,0,25025,0,25021,a,a,s,true,0,true,{2},{1},{96},{96},{96},,
25058,api_pays_documents_document_id_3f0cad42_fk_api_document_id,2200,f,true,true,true,25029,0,25001,0,24994,a,a,s,true,0,true,{3},{1},{96},{96},{96},,
25068,auth_user_username_key,2200,u,false,false,true,24892,0,25067,0,0, , , ,true,0,true,{5},,,,,,
25074,auth_group_name_key,2200,u,false,false,true,24874,0,25073,0,0, , , ,true,0,true,{2},,,,,,
25083,django_session_pkey,2200,p,false,false,true,25076,0,25082,0,0, , , ,true,0,true,{1},,,,,,
