calasanzPFE,pg_catalog,pg_tablespace,TABLE,4,aclitem,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,aclitem,,,,,a4
calasanzPFE,pg_catalog,pg_tablespace,TABLE,5,text,,,,,,calasanzPFE,pg_catalog,C,,,,,,,,calasanzPFE,pg_catalog,text,,,,,a5
calasanzPFE,pg_catalog,pg_pltemplate,TABLE,8,aclitem,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,aclitem,,,,,a8
calasanzPFE,pg_catalog,pg_extension,TABLE,7,oid,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,oid,,,,,a7
calasanzPFE,pg_catalog,pg_extension,TABLE,8,text,,,,,,calasanzPFE,pg_catalog,C,,,,,,,,calasanzPFE,pg_catalog,text,,,,,a8
calasanzPFE,pg_catalog,pg_foreign_data_wrapper,TABLE,6,aclitem,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,aclitem,,,,,a6
calasanzPFE,pg_catalog,pg_foreign_data_wrapper,TABLE,7,text,,,,,,calasanzPFE,pg_catalog,C,,,,,,,,calasanzPFE,pg_catalog,text,,,,,a7
calasanzPFE,pg_catalog,pg_foreign_server,TABLE,7,aclitem,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,aclitem,,,,,a7
calasanzPFE,pg_catalog,pg_foreign_server,TABLE,8,text,,,,,,calasanzPFE,pg_catalog,C,,,,,,,,calasanzPFE,pg_catalog,text,,,,,a8
calasanzPFE,pg_catalog,pg_user_mapping,TABLE,4,text,,,,,,calasanzPFE,pg_catalog,C,,,,,,,,calasanzPFE,pg_catalog,text,,,,,a4
calasanzPFE,pg_catalog,pg_foreign_table,TABLE,3,text,,,,,,calasanzPFE,pg_catalog,C,,,,,,,,calasanzPFE,pg_catalog,text,,,,,a3
calasanzPFE,pg_catalog,pg_policy,TABLE,6,oid,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,oid,,,,,a6
calasanzPFE,pg_catalog,pg_default_acl,TABLE,5,aclitem,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,aclitem,,,,,a5
calasanzPFE,pg_catalog,pg_init_privs,TABLE,5,aclitem,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,aclitem,,,,,a5
calasanzPFE,pg_catalog,pg_partitioned_table,TABLE,5,smallint,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,int2,,,,,a5
calasanzPFE,pg_catalog,pg_partitioned_table,TABLE,6,oid,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,oid,,,,,a6
calasanzPFE,pg_catalog,pg_partitioned_table,TABLE,7,oid,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,oid,,,,,a7
calasanzPFE,pg_catalog,pg_roles,TABLE,12,text,,,,,,calasanzPFE,pg_catalog,C,,,,,,,,calasanzPFE,pg_catalog,text,,,,,a12
calasanzPFE,pg_catalog,pg_shadow,TABLE,9,text,,,,,,calasanzPFE,pg_catalog,C,,,,,,,,calasanzPFE,pg_catalog,text,,,,,a9
calasanzPFE,pg_catalog,pg_group,TABLE,3,oid,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,oid,,,,,a3
calasanzPFE,pg_catalog,pg_user,TABLE,9,text,,,,,,calasanzPFE,pg_catalog,C,,,,,,,,calasanzPFE,pg_catalog,text,,,,,a9
calasanzPFE,pg_catalog,pg_policies,TABLE,5,name,,,,,,calasanzPFE,pg_catalog,C,,,,,,,,calasanzPFE,pg_catalog,name,,,,,a5
calasanzPFE,pg_catalog,pg_stats,TABLE,9,real,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,float4,,,,,a9
calasanzPFE,pg_catalog,pg_stats,TABLE,13,real,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,float4,,,,,a13
calasanzPFE,pg_catalog,pg_stats,TABLE,14,real,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,float4,,,,,a14
calasanzPFE,pg_catalog,pg_stats_ext,TABLE,6,name,,,,,,calasanzPFE,pg_catalog,C,,,,,,,,calasanzPFE,pg_catalog,name,,,,,a6
calasanzPFE,pg_catalog,pg_stats_ext,TABLE,7,"char",,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,char,,,,,a7
calasanzPFE,pg_catalog,pg_stats_ext,TABLE,10,text,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,text,,,,,a10
calasanzPFE,pg_catalog,pg_stats_ext,TABLE,11,boolean,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,bool,,,,,a11
calasanzPFE,pg_catalog,pg_stats_ext,TABLE,12,double precision,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,float8,,,,,a12
