calasanzPFE,pg_catalog,regprocout_45,calasanzPFE,pg_catalog,regprocout,FUNCTION,,,,,,,cstring,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,cstring,,,,,0,EXTERNAL,regprocout,,INTERNAL,GENERAL,NO,MODIFIES,YES,,YES,0,,,INVOKER,,,,NO,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,
calasanzPFE,pg_catalog,to_regproc_3494,calasanzPFE,pg_catalog,to_regproc,FUNCTION,,,,,,,regproc,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,regproc,,,,,0,EXTERNAL,to_regproc,,INTERNAL,GENERAL,NO,MODIFIES,YES,,YES,0,,,INVOKER,,,,NO,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,
calasanzPFE,pg_catalog,to_regprocedure_3479,calasanzPFE,pg_catalog,to_regprocedure,FUNCTION,,,,,,,regprocedure,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,regprocedure,,,,,0,EXTERNAL,to_regprocedure,,INTERNAL,GENERAL,NO,MODIFIES,YES,,YES,0,,,INVOKER,,,,NO,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,
calasanzPFE,pg_catalog,textin_46,calasanzPFE,pg_catalog,textin,FUNCTION,,,,,,,text,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,text,,,,,0,EXTERNAL,textin,,INTERNAL,GENERAL,YES,MODIFIES,YES,,YES,0,,,INVOKER,,,,NO,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,
calasanzPFE,pg_catalog,textout_47,calasanzPFE,pg_catalog,textout,FUNCTION,,,,,,,cstring,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,cstring,,,,,0,EXTERNAL,textout,,INTERNAL,GENERAL,YES,MODIFIES,YES,,YES,0,,,INVOKER,,,,NO,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,
calasanzPFE,pg_catalog,tidin_48,calasanzPFE,pg_catalog,tidin,FUNCTION,,,,,,,tid,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,tid,,,,,0,EXTERNAL,tidin,,INTERNAL,GENERAL,YES,MODIFIES,YES,,YES,0,,,INVOKER,,,,NO,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,
calasanzPFE,pg_catalog,tidout_49,calasanzPFE,pg_catalog,tidout,FUNCTION,,,,,,,cstring,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,cstring,,,,,0,EXTERNAL,tidout,,INTERNAL,GENERAL,YES,MODIFIES,YES,,YES,0,,,INVOKER,,,,NO,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,
calasanzPFE,pg_catalog,xidin_50,calasanzPFE,pg_catalog,xidin,FUNCTION,,,,,,,xid,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,xid,,,,,0,EXTERNAL,xidin,,INTERNAL,GENERAL,YES,MODIFIES,YES,,YES,0,,,INVOKER,,,,NO,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,
calasanzPFE,pg_catalog,xidout_51,calasanzPFE,pg_catalog,xidout,FUNCTION,,,,,,,cstring,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,cstring,,,,,0,EXTERNAL,xidout,,INTERNAL,GENERAL,YES,MODIFIES,YES,,YES,0,,,INVOKER,,,,NO,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,
calasanzPFE,pg_catalog,cidin_52,calasanzPFE,pg_catalog,cidin,FUNCTION,,,,,,,cid,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,cid,,,,,0,EXTERNAL,cidin,,INTERNAL,GENERAL,YES,MODIFIES,YES,,YES,0,,,INVOKER,,,,NO,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,
